ID,Number,From,To,WaitToBoard,TotalTime
125,4,4,6,125,-3243
129,2,6,2,5,-3401
130,2,6,1,3,-3403
133,4,6,1,2,-3408
131,4,1,2,56,-3406
134,4,1,2,53,-3409
132,3,1,4,55,-3407
128,1,1,6,63,-3399
135,6,1,6,53,-3409
136,4,4,6,92,-3413
139,3,4,5,37,-3572
137,3,1,6,158,-3414
138,5,1,6,154,-3418
144,2,3,6,12,-3583
143,3,6,5,58,-3583
141,6,6,1,62,-3579
142,5,6,1,62,-3579
146,1,6,1,50,-3591
140,1,3,1,105,-3575
147,6,2,1,99,-3595
145,6,2,5,142,-3587
149,3,6,5,11,-3762
152,3,1,2,55,-3767
155,5,1,3,46,-3776
153,2,2,3,69,-3771
151,4,1,5,56,-3766
150,6,2,6,75,-3765
148,4,4,6,110,-3762
154,5,2,5,165,-3775
160,2,4,5,9,-3953
159,2,1,2,62,-3951
157,4,1,3,63,-3950
156,3,2,5,82,-3947
158,6,2,6,79,-3950
164,2,1,2,36,-4134
167,3,1,2,30,-4140
165,3,1,3,35,-4135
166,6,1,4,31,-4139
161,2,1,5,39,-4131
163,3,1,6,36,-4134
168,1,6,5,108,-4141
162,4,2,1,158,-4133
170,6,1,3,163,-4145
169,2,1,4,163,-4145
171,3,2,6,14,-4310
172,5,5,1,78,-4310
173,5,1,3,4,-4483
174,2,1,4,0,-4487
176,4,2,6,13,-4490
180,6,4,3,87,-4494
177,5,6,1,65,-4491
178,3,6,1,65,-4491
179,6,6,1,65,-4491
175,2,2,1,123,-4488
181,2,1,5,134,-4497
187,2,5,6,2,-4665
182,1,6,1,25,-4657
184,4,6,1,20,-4662
186,2,2,1,53,-4665
185,3,1,2,71,-4664
183,4,1,3,74,-4661
189,3,1,4,70,-4665
188,6,2,4,88,-4665
194,2,3,2,2,-4855
190,3,3,1,11,-4846
193,6,2,1,19,-4854
191,5,1,2,43,-4848
197,5,1,2,29,-4862
199,1,1,2,24,-4867
196,4,1,3,30,-4861
198,6,2,5,49,-4864
195,3,5,6,93,-4859
192,1,5,3,128,-4852
200,2,4,6,11,-5031
205,2,4,6,3,-5044
203,1,1,2,72,-5039
201,5,1,3,77,-5034
204,4,1,3,69,-5042
206,1,1,5,67,-5044
202,3,2,6,92,-5037
207,1,6,5,4,-5207
208,2,6,1,0,-5211
209,4,6,1,39,-5370
210,2,6,1,39,-5370
211,4,3,1,64,-5374
212,2,4,6,117,-5374
214,3,1,2,38,-5553
216,6,2,3,53,-5555
222,2,2,4,45,-5563
215,1,1,5,36,-5555
213,4,1,6,39,-5552
217,1,1,6,35,-5556
221,3,6,1,107,-5562
220,3,5,1,124,-5559
218,5,2,1,154,-5557
219,3,2,1,154,-5557
226,3,1,2,1,-5753
223,1,1,4,4,-5745
225,1,1,4,3,-5751
227,5,1,5,0,-5754
224,1,5,6,58,-5749
228,4,6,1,65,-5757
233,2,1,2,0,-5932
231,3,1,3,2,-5928
229,4,1,6,4,-5926
230,3,6,1,64,-5926
232,3,6,1,60,-5930
234,4,2,1,91,-5935
235,1,1,3,4,-6096
236,3,3,1,26,-6096
237,5,3,1,18,-6279
243,3,3,1,4,-6293
240,4,2,1,29,-6284
244,4,1,4,35,-6297
241,3,1,6,47,-6285
242,1,3,6,66,-6289
238,1,5,3,125,-6282
246,2,6,3,23,-6475
253,5,6,2,9,-6489
251,1,5,2,33,-6483
250,1,4,2,50,-6480
245,5,6,1,25,-6473
249,2,6,1,18,-6480
248,5,3,1,69,-6476
252,4,1,2,94,-6486
247,5,3,5,135,-6475
254,3,5,6,142,-6492
257,4,2,1,33,-6650
256,2,1,2,51,-6649
258,3,1,3,48,-6652
255,5,2,6,70,-6646
259,2,2,6,32,-6833
260,4,5,6,60,-6833
262,2,5,3,86,-6837
261,3,1,3,130,-6835
263,5,1,6,127,-6838
265,4,1,2,39,-7029
264,4,1,6,39,-7029
269,2,1,2,33,-7198
270,1,1,5,30,-7201
271,5,1,5,26,-7205
272,2,1,5,25,-7206
273,3,1,5,21,-7210
266,2,1,6,39,-7192
267,2,1,6,39,-7192
268,1,3,2,135,-7196
275,6,3,1,11,-7395
276,1,1,2,33,-7397
277,3,5,2,73,-7399
278,3,4,1,18,-7585
279,5,4,1,14,-7589
280,4,1,6,47,-7589
283,2,6,1,85,-7596
282,3,5,1,101,-7594
284,1,5,1,99,-7596
285,1,5,6,32,-7776
293,3,6,1,28,-7795
290,5,3,1,65,-7786
287,2,2,1,86,-7780
288,2,1,3,100,-7784
289,6,3,5,129,-7786
291,3,4,5,142,-7788
286,3,2,6,118,-7780
292,6,2,6,106,-7792
296,5,1,2,37,-7970
297,3,1,2,36,-7971
294,6,1,5,39,-7968
298,4,1,5,36,-7971
299,2,6,2,101,-7972
295,4,5,1,117,-7970
300,5,1,2,157,-7975
304,4,2,6,4,-8145
302,3,3,2,72,-8142
305,5,3,2,68,-8146
301,5,1,2,106,-8140
303,2,1,2,104,-8142
307,6,1,3,98,-8148
308,4,1,5,96,-8150
306,3,1,6,98,-8148
311,6,5,2,6,-8327
309,2,4,5,83,-8322
310,3,1,6,54,-8323
312,5,4,6,18,-8490
313,4,4,6,15,-8493
317,5,5,6,21,-8503
318,4,6,3,41,-8503
319,1,6,2,37,-8507
316,5,6,1,41,-8503
320,3,3,1,70,-8507
322,4,3,1,64,-8513
314,4,1,5,115,-8496
315,4,1,6,112,-8499
321,2,4,6,130,-8511
323,6,6,1,4,-8685
325,2,2,1,37,-8688
326,2,1,2,52,-8690
327,6,1,5,49,-8693
324,2,4,5,91,-8688
328,5,6,3,113,-8696
329,1,3,6,4,-8866
331,4,6,1,28,-8871
332,2,2,1,63,-8872
330,2,2,3,95,-8869
333,2,3,1,4,-9033
338,2,2,1,9,-9042
342,6,2,1,3,-9048
335,1,1,2,34,-9037
340,1,1,2,26,-9045
334,4,1,4,35,-9036
341,2,1,4,24,-9047
339,3,1,6,28,-9043
343,4,2,6,37,-9052
337,6,4,6,71,-9042
336,5,3,1,126,-9041
345,2,2,1,11,-9212
346,2,1,2,24,-9214
348,2,1,2,19,-9219
350,3,1,2,13,-9225
351,4,2,4,33,-9226
344,5,3,4,62,-9212
349,6,1,6,15,-9223
347,6,3,5,125,-9216
354,1,4,3,18,-9420
361,3,3,2,11,-9442
352,4,5,1,4,-9419
359,2,4,1,0,-9438
357,2,1,3,53,-9430
356,4,1,4,57,-9426
355,3,3,4,83,-9423
360,1,4,5,83,-9441
353,1,3,6,86,-9420
358,4,6,5,119,-9434
362,3,1,2,32,-9593
363,2,6,3,80,-9594
364,5,1,2,18,-9771
370,4,1,4,7,-9782
372,4,3,4,39,-9784
368,2,1,5,8,-9781
369,5,1,5,8,-9781
371,1,4,5,58,-9783
367,6,6,3,94,-9777
365,5,6,2,100,-9771
366,4,6,1,96,-9775
373,6,2,3,11,-9969
375,2,2,6,3,-9977
374,2,6,1,53,-9973
380,2,4,1,62,-9985
377,5,1,2,94,-9983
376,2,1,4,96,-9981
378,5,1,6,94,-9983
379,6,1,6,93,-9984
384,1,6,5,1,-10142
383,3,5,3,19,-10139
385,5,4,1,27,-10145
388,5,4,1,21,-10151
392,3,1,2,58,-10156
382,5,1,3,77,-10137
386,2,2,3,84,-10149
387,2,2,3,82,-10151
381,5,1,4,228,-9986
389,3,5,6,128,-10151
390,1,6,5,143,-10151
391,3,6,1,140,-10154
394,4,1,2,12,-10333
393,4,2,6,29,-10333
396,5,5,6,56,-10335
397,1,5,6,56,-10335
400,5,5,6,46,-10345
398,5,5,1,88,-10338
399,4,3,1,106,-10342
395,3,2,1,129,-10334
401,3,1,6,4,-10529
402,2,5,6,36,-10532
408,5,6,5,38,-10546
403,4,5,3,65,-10536
404,3,2,1,100,-10538
409,1,1,4,106,-10547
406,4,1,5,112,-10541
405,6,1,6,114,-10539
407,2,1,6,110,-10543
410,5,1,6,106,-10547
411,2,1,6,102,-10551
419,1,4,2,1,-10746
412,3,4,1,18,-10729
414,4,1,2,48,-10736
418,1,1,2,40,-10744
420,5,1,3,36,-10748
415,4,3,4,81,-10739
416,6,1,6,43,-10741
413,5,6,5,133,-10733
417,4,5,1,140,-10743
422,3,5,6,32,-10940
424,6,5,1,52,-10948
426,3,2,1,78,-10951
423,2,2,5,115,-10944
425,1,2,6,109,-10950
427,4,1,2,39,-11138
429,1,1,3,33,-11144
428,1,2,6,53,-11141
430,4,6,1,93,-11144
431,3,2,1,126,-11147
439,4,6,5,28,-11328
432,6,6,2,39,-11317
434,3,6,1,35,-11321
441,2,1,2,86,-11333
437,4,1,4,93,-11326
436,2,2,5,114,-11324
438,5,2,5,111,-11327
433,3,4,5,145,-11318
435,3,1,6,98,-11321
440,5,1,6,87,-11332
445,4,1,2,29,-11524
444,2,2,4,52,-11520
443,4,1,5,35,-11518
446,2,4,5,66,-11528
442,2,1,6,39,-11514
447,6,5,6,11,-11686
451,5,1,2,61,-11694
450,1,2,4,83,-11691
449,4,3,4,98,-11690
448,5,1,5,66,-11689
456,3,1,3,25,-11862
452,1,1,4,32,-11855
457,2,1,5,25,-11862
458,5,1,6,22,-11865
453,4,2,6,46,-11858
455,6,3,1,129,-11862
454,2,2,1,148,-11858
460,3,1,5,4,-12027
459,3,2,1,67,-12027
461,4,1,2,4,-12199
464,3,1,3,0,-12203
463,4,1,4,2,-12201
465,1,2,6,16,-12206
466,6,2,6,16,-12206
469,2,4,6,41,-12213
470,2,3,2,88,-12217
462,3,2,1,121,-12199
468,2,2,1,107,-12213
467,2,1,3,127,-12210
474,2,1,2,13,-12377
471,3,1,3,18,-12372
475,3,2,4,29,-12377
473,1,6,1,79,-12376
472,4,2,1,114,-12376
477,3,1,2,2,-12547
478,2,1,2,2,-12547
476,1,1,6,4,-12545
479,6,1,3,39,-12720
480,1,3,6,63,-12720
481,2,3,2,25,-12899
487,6,2,1,22,-12917
488,6,2,1,18,-12921
483,4,1,3,56,-12904
482,3,1,5,57,-12903
485,4,4,6,87,-12911
484,2,4,2,141,-12908
489,4,6,5,32,-13091
491,2,6,5,31,-13092
493,2,6,1,27,-13096
495,2,2,1,67,-13101
490,4,1,2,92,-13092
497,3,1,2,83,-13101
492,4,1,4,90,-13094
496,2,1,5,83,-13101
494,4,1,6,85,-13099
500,3,2,1,9,-13282
501,5,2,1,9,-13282
503,4,2,5,36,-13289
502,5,4,5,61,-13286
498,4,1,6,208,-13102
504,4,4,1,108,-13292
499,1,3,1,134,-13281
43,3,6,1,75,-1
64,4,5,1,75,-1
73,1,4,1,75,-1
239,6,4,5,75,-1
274,6,5,1,75,-1
281,3,6,5,75,-1
421,3,5,6,75,-1
486,2,4,1,75,-1
