ID,Number,From,To,WaitToBoard,TotalTime
221,3,6,1,76,-5562
220,3,5,1,89,-5559
218,5,2,1,111,-5557
219,3,2,1,111,-5557
223,1,1,4,3,-5745
224,1,5,6,29,-5749
228,4,6,1,32,-5757
226,3,1,2,69,-5753
225,1,1,4,71,-5751
227,5,1,5,68,-5754
230,3,6,1,8,-5926
232,3,6,1,4,-5930
234,4,2,1,25,-5935
233,2,1,2,43,-5932
231,3,1,3,47,-5928
229,4,1,6,49,-5926
236,3,3,1,18,-6096
235,1,1,3,34,-6096
237,5,3,1,3,-6279
240,4,2,1,9,-6284
244,4,1,4,10,-6297
239,6,4,5,53,-6283
241,3,1,6,22,-6285
242,1,3,6,35,-6289
238,1,5,3,87,-6282
243,3,3,1,92,-6293
246,2,6,3,26,-6475
253,5,6,2,12,-6489
251,1,5,2,32,-6483
245,5,6,1,28,-6473
249,2,6,1,21,-6480
252,4,1,2,74,-6486
247,5,3,5,107,-6475
254,3,5,6,108,-6492
250,1,4,2,145,-6480
248,5,3,1,159,-6476
256,2,1,2,9,-6649
258,3,1,3,6,-6652
255,5,2,6,24,-6646
257,4,2,1,77,-6650
259,2,2,6,8,-6833
260,4,5,6,28,-6833
262,2,5,3,46,-6837
261,3,1,3,78,-6835
263,5,1,6,75,-6838
265,4,1,2,28,-7029
264,4,1,6,28,-7029
269,2,1,2,22,-7198
270,1,1,5,19,-7201
271,5,1,5,15,-7205
272,2,1,5,14,-7206
266,2,1,6,28,-7192
267,2,1,6,28,-7192
268,1,3,2,97,-7196
274,6,5,1,66,-7211
273,3,1,5,105,-7210
275,6,3,1,13,-7395
276,1,1,2,29,-7397
277,3,5,2,57,-7399
278,3,4,1,13,-7585
279,5,4,1,9,-7589
280,4,1,6,34,-7589
281,3,6,5,65,-7591
283,2,6,1,60,-7596
282,3,5,1,74,-7594
284,1,5,1,72,-7596
285,1,5,6,23,-7776
293,3,6,1,15,-7795
290,5,3,1,44,-7786
287,2,2,1,61,-7780
288,2,1,3,71,-7784
289,6,3,5,92,-7786
286,3,2,6,85,-7780
292,6,2,6,73,-7792
291,3,4,5,139,-7788
296,5,1,2,21,-7970
297,3,1,2,20,-7971
294,6,1,5,23,-7968
299,2,6,2,66,-7972
295,4,5,1,78,-7970
300,5,1,2,106,-7975
298,4,1,5,110,-7971
301,5,1,2,23,-8140
303,2,1,2,21,-8142
306,3,1,6,15,-8148
304,4,2,6,34,-8145
302,3,3,2,85,-8142
305,5,3,2,81,-8146
307,6,1,3,103,-8148
308,4,1,5,101,-8150
309,2,4,5,8,-8322
311,6,5,2,14,-8327
310,3,1,6,50,-8323
312,5,4,6,13,-8490
313,4,4,6,10,-8493
317,5,5,6,12,-8503
318,4,6,3,28,-8503
319,1,6,2,24,-8507
316,5,6,1,28,-8503
320,3,3,1,49,-8507
322,4,3,1,43,-8513
314,4,1,5,86,-8496
315,4,1,6,83,-8499
321,2,4,6,93,-8511
323,6,6,1,3,-8685
325,2,2,1,26,-8688
326,2,1,2,37,-8690
327,6,1,5,34,-8693
324,2,4,5,66,-8688
328,5,6,3,80,-8696
329,1,3,6,3,-8866
331,4,6,1,19,-8871
332,2,2,1,44,-8872
330,2,2,3,68,-8869
333,2,3,1,3,-9033
338,2,2,1,4,-9042
335,1,1,2,21,-9037
340,1,1,2,13,-9045
334,4,1,4,22,-9036
341,2,1,4,11,-9047
339,3,1,6,15,-9043
343,4,2,6,20,-9052
337,6,4,6,48,-9042
336,5,3,1,89,-9041
342,6,2,1,93,-9048
345,2,2,1,8,-9212
346,2,1,2,17,-9214
348,2,1,2,12,-9219
350,3,1,2,6,-9225
351,4,2,4,22,-9226
344,5,3,4,47,-9212
349,6,1,6,8,-9223
347,6,3,5,92,-9216
354,1,4,3,13,-9420
361,3,3,2,2,-9442
352,4,5,1,3,-9419
357,2,1,3,36,-9430
356,4,1,4,40,-9426
355,3,3,4,60,-9423
360,1,4,5,56,-9441
353,1,3,6,63,-9420
358,4,6,5,84,-9434
359,2,4,1,102,-9438
362,3,1,2,3,-9593
363,2,6,3,37,-9594
364,5,1,2,13,-9771
372,4,3,4,24,-9784
368,2,1,5,3,-9781
369,5,1,5,3,-9781
371,1,4,5,38,-9783
367,6,6,3,66,-9777
365,5,6,2,72,-9771
366,4,6,1,68,-9775
370,4,1,4,109,-9782
373,6,2,3,13,-9969
375,2,2,6,5,-9977
374,2,6,1,43,-9973
380,2,4,1,46,-9985
377,5,1,2,70,-9983
376,2,1,4,72,-9981
378,5,1,6,70,-9983
381,5,1,4,142,-9986
379,6,1,6,144,-9984
389,3,5,6,11,-10151
384,1,6,5,33,-10142
390,1,6,5,24,-10151
383,3,5,3,48,-10139
391,3,6,1,21,-10154
385,5,4,1,52,-10145
392,3,1,2,70,-10156
382,5,1,3,89,-10137
386,2,2,3,90,-10149
387,2,2,3,88,-10151
388,5,4,1,111,-10151
394,4,1,2,3,-10333
393,4,2,6,16,-10333
396,5,5,6,35,-10335
397,1,5,6,35,-10335
400,5,5,6,25,-10345
398,5,5,1,59,-10338
399,4,3,1,71,-10342
395,3,2,1,90,-10334
401,3,1,6,3,-10529
402,2,5,6,25,-10532
408,5,6,5,23,-10546
403,4,5,3,46,-10536
404,3,2,1,71,-10538
409,1,1,4,73,-10547
406,4,1,5,79,-10541
405,6,1,6,81,-10539
407,2,1,6,77,-10543
410,5,1,6,150,-10547
411,2,1,6,146,-10551
413,5,6,5,3,-10733
419,1,4,2,14,-10746
417,4,5,1,6,-10743
412,3,4,1,31,-10729
414,4,1,2,53,-10736
418,1,1,2,45,-10744
415,4,3,4,74,-10739
416,6,1,6,48,-10741
420,5,1,3,128,-10748
422,3,5,6,13,-10940
424,6,5,1,25,-10948
426,3,2,1,43,-10951
423,2,2,5,72,-10944
425,1,2,6,66,-10950
427,4,1,2,28,-11138
429,1,1,3,22,-11144
428,1,2,6,38,-11141
430,4,6,1,66,-11144
431,3,2,1,89,-11147
439,4,6,5,17,-11328
432,6,6,2,28,-11317
434,3,6,1,24,-11321
441,2,1,2,59,-11333
437,4,1,4,66,-11326
436,2,2,5,83,-11324
433,3,4,5,106,-11318
435,3,1,6,71,-11321
440,5,1,6,60,-11332
438,5,2,5,145,-11327
445,4,1,2,13,-11524
444,2,2,4,32,-11520
443,4,1,5,19,-11518
446,2,4,5,40,-11528
442,2,1,6,23,-11514
447,6,5,6,8,-11686
451,5,1,2,42,-11694
450,1,2,4,60,-11691
449,4,3,4,71,-11690
448,5,1,5,47,-11689
456,3,1,3,16,-11862
452,1,1,4,23,-11855
457,2,1,5,16,-11862
458,5,1,6,13,-11865
453,4,2,6,33,-11858
455,6,3,1,92,-11862
454,2,2,1,107,-11858
460,3,1,5,3,-12027
459,3,2,1,48,-12027
461,4,1,2,3,-12199
464,3,1,3,0,-12203
463,4,1,4,1,-12201
465,1,2,6,11,-12206
466,6,2,6,11,-12206
469,2,4,6,28,-12213
470,2,3,2,61,-12217
462,3,2,1,90,-12199
468,2,2,1,76,-12213
467,2,1,3,92,-12210
474,2,1,2,8,-12377
471,3,1,3,13,-12372
475,3,2,4,20,-12377
473,1,6,1,56,-12376
472,4,2,1,81,-12376
477,3,1,2,1,-12547
478,2,1,2,1,-12547
476,1,1,6,3,-12545
479,6,1,3,28,-12720
480,1,3,6,46,-12720
481,2,3,2,18,-12899
487,6,2,1,11,-12917
488,6,2,1,7,-12921
483,4,1,3,41,-12904
482,3,1,5,42,-12903
485,4,4,6,62,-12911
484,2,4,2,102,-12908
489,4,6,5,23,-13091
491,2,6,5,22,-13092
493,2,6,1,18,-13096
495,2,2,1,46,-13101
490,4,1,2,67,-13092
492,4,1,4,65,-13094
496,2,1,5,58,-13101
494,4,1,6,60,-13099
497,3,1,2,140,-13101
498,4,1,6,139,-13102
499,1,3,1,18,-13281
500,3,2,1,27,-13282
501,5,2,1,27,-13282
503,4,2,5,44,-13289
502,5,4,5,63,-13286
504,4,4,1,80,-13292
141,6,6,1,75,-1
142,5,6,1,75,-1
421,3,5,6,75,-1
486,2,4,1,75,-1
